"","SP500","DowJones","Nasdaq","FTSE100"
"2023-12-13",4707.08984375,37090.23828125,14733.9599609375,7548.39990234375
"2023-12-14",4719.5498046875,37248.3515625,14761.5595703125,7649
"2023-12-15",4719.18994140625,37305.16015625,14813.919921875,7576.39990234375
"2023-12-18",4740.56005859375,37306.01953125,14904.8095703125,7614.5
"2023-12-19",4768.3701171875,37557.921875,15003.2197265625,7638
"2023-12-20",4698.35009765625,37082,14777.9404296875,7715.7001953125
"2023-12-21",4746.75,37404.3515625,14963.8701171875,7694.7001953125
"2023-12-22",4754.6298828125,37385.96875,14992.9697265625,7697.5
"2023-12-26",4774.75,37545.328125,15074.5703125,NA
"2023-12-27",4781.580078125,37656.51953125,15099.1796875,7725
"2023-12-28",4783.35009765625,37710.1015625,15095.1396484375,7722.7001953125
"2023-12-29",4769.830078125,37689.5390625,15011.349609375,7733.2001953125
"2024-01-02",4742.830078125,37715.0390625,14765.9404296875,7721.5
"2024-01-03",4704.81005859375,37430.19140625,14592.2099609375,7682.2998046875
"2024-01-04",4688.68017578125,37440.33984375,14510.2998046875,7723.10009765625
"2024-01-05",4697.240234375,37466.109375,14524.0703125,7689.60009765625
"2024-01-08",4763.5400390625,37683.01171875,14843.76953125,7694.2001953125
"2024-01-09",4756.5,37525.16015625,14857.7099609375,7684
"2024-01-10",4783.4501953125,37695.73046875,14969.650390625,7651.7998046875
"2024-01-11",4780.240234375,37711.01953125,14970.1904296875,7576.60009765625
"2024-01-12",4783.830078125,37592.98046875,14972.759765625,7624.89990234375
"2024-01-15",NA,NA,NA,7594.89990234375
"2024-01-16",4765.97998046875,37361.12109375,14944.349609375,7558.2998046875
"2024-01-17",4739.2099609375,37266.671875,14855.6201171875,7446.2998046875
"2024-01-18",4780.93994140625,37468.609375,15055.650390625,7459.10009765625
"2024-01-19",4839.81005859375,37863.80078125,15310.9697265625,7461.89990234375
"2024-01-22",4850.43017578125,38001.80859375,15360.2900390625,7487.7001953125
"2024-01-23",4864.60009765625,37905.44921875,15425.9404296875,7485.7001953125
"2024-01-24",4868.5498046875,37806.390625,15481.919921875,7527.7001953125
"2024-01-25",4894.16015625,38049.12890625,15510.5,7529.7001953125
"2024-01-26",4890.97021484375,38109.4296875,15455.3603515625,7635.10009765625
"2024-01-29",4927.93017578125,38333.44921875,15628.0400390625,7632.7001953125
"2024-01-30",4924.97021484375,38467.30859375,15509.900390625,7666.2998046875
"2024-01-31",4845.64990234375,38150.30078125,15164.009765625,7630.60009765625
"2024-02-01",4906.18994140625,38519.83984375,15361.6396484375,7622.2001953125
"2024-02-02",4958.60986328125,38654.421875,15628.9501953125,7615.5
"2024-02-05",4942.81005859375,38380.12109375,15597.6796875,7612.89990234375
"2024-02-06",4954.22998046875,38521.359375,15609,7681
"2024-02-07",4995.06005859375,38677.359375,15756.6396484375,7628.7998046875
"2024-02-08",4997.91015625,38726.328125,15793.7099609375,7595.5
"2024-02-09",5026.60986328125,38671.69140625,15990.66015625,7572.60009765625
"2024-02-12",5021.83984375,38797.37890625,15942.5498046875,7573.7001953125
"2024-02-13",4953.169921875,38272.75,15655.599609375,7512.2998046875
"2024-02-14",5000.6201171875,38424.26953125,15859.150390625,7568.39990234375
"2024-02-15",5029.72998046875,38773.12109375,15906.169921875,7597.5
"2024-02-16",5005.56982421875,38627.98828125,15775.650390625,7711.7001953125
"2024-02-19",NA,NA,NA,7728.5
"2024-02-20",4975.509765625,38563.80078125,15630.7802734375,7719.2001953125
"2024-02-21",4981.7998046875,38612.23828125,15580.8701171875,7662.5
"2024-02-22",5087.02978515625,39069.109375,16041.6201171875,7684.5
"2024-02-23",5088.7998046875,39131.53125,15996.8203125,7706.2998046875
"2024-02-26",5069.52978515625,39069.23046875,15976.25,7684.2998046875
"2024-02-27",5078.18017578125,38972.41015625,16035.2998046875,7683
"2024-02-28",5069.759765625,38949.01953125,15947.740234375,7625
"2024-02-29",5096.27001953125,38996.390625,16091.919921875,7630
"2024-03-01",5137.080078125,39087.37890625,16274.9404296875,7682.5
"2024-03-04",5130.9501953125,38989.828125,16207.509765625,7640.2998046875
"2024-03-05",5078.64990234375,38585.19140625,15939.58984375,7646.2001953125
"2024-03-06",5104.759765625,38661.05078125,16031.5400390625,7679.2998046875
"2024-03-07",5157.35986328125,38791.3515625,16273.3798828125,7692.5
"2024-03-08",5123.68994140625,38722.69140625,16085.1103515625,7659.7001953125
"2024-03-11",5117.93994140625,38769.66015625,16019.26953125,7669.2001953125
"2024-03-12",5175.27001953125,39005.48828125,16265.6396484375,7747.7998046875
"2024-03-13",5165.31005859375,39043.3203125,16177.76953125,7772.2001953125
"2024-03-14",5150.47998046875,38905.66015625,16128.5302734375,7743.2001953125
"2024-03-15",5117.08984375,38714.76953125,15973.169921875,7727.39990234375
"2024-03-18",5149.419921875,38790.4296875,16103.4501953125,7722.60009765625
"2024-03-19",5178.509765625,39110.76171875,16166.7900390625,7738.2998046875
"2024-03-20",5224.6201171875,39512.12890625,16369.41015625,7737.39990234375
"2024-03-21",5241.52978515625,39781.37109375,16401.83984375,7882.60009765625
"2024-03-22",5234.18017578125,39475.8984375,16428.8203125,7930.89990234375
"2024-03-25",5218.18994140625,39313.640625,16384.470703125,7917.60009765625
"2024-03-26",5203.580078125,39282.328125,16315.7001953125,7931
"2024-03-27",5248.490234375,39760.078125,16399.51953125,7932
"2024-03-28",5254.35009765625,39807.37109375,16379.4599609375,7952.60009765625
"2024-04-01",5243.77001953125,39566.8515625,16396.830078125,NA
"2024-04-02",5205.81005859375,39170.23828125,16240.4501953125,7935.10009765625
"2024-04-03",5211.490234375,39127.140625,16277.4599609375,7937.39990234375
"2024-04-04",5147.2099609375,38596.98046875,16049.080078125,7975.89990234375
"2024-04-05",5204.33984375,38904.0390625,16248.51953125,7911.2001953125
